20:45	悍女	149	马丁·库尔霍文	剧情片	2017/6/17	07厅	SFC上影影城（永华店）
13:30	猫忍	96	渡边武	剧情片	2017/6/17	01厅	曹杨影城
15:45	圣之青春	124	森义隆	剧情片	2017/6/17	01厅	曹杨影城
18:30	月光男孩	111	巴里·詹金斯	剧情片	2017/6/17	01厅	曹杨影城
20:45	双峰镇：与火同行 （4K）	134	大卫·林奇	剧情片	2017/6/17	01厅	曹杨影城
13:30	22年的自白：我是杀人犯	117	入江悠	剧情片	2017/6/17	01厅	SFC上影影城（新衡山店）
15:45	会计刺客	128	加文·欧康诺	动作片	2017/6/17	01厅	SFC上影影城（新衡山店）
18:30	正午	85	弗雷德·金尼曼	剧情片	2017/6/17	01厅	SFC上影影城（新衡山店）
20:45	赴汤蹈火	102	大卫·马肯兹	剧情片	2017/6/17	01厅	SFC上影影城（新衡山店）
22:45	午夜凶铃	96	中田秀夫	剧情片	2017/6/17	01厅	SFC上影影城（新衡山店）
10:30	盗信情缘	110	萨布	剧情片	2017/6/17	01厅	上海星光影城（亚新旗舰店）
13:30	昼行闪耀的流星	119	新城毅彦	剧情片	2017/6/17	01厅	上海星光影城（亚新旗舰店）
15:45	普罗米修斯	123	雷德利·斯科特	剧情片	2017/6/17	01厅	上海星光影城（亚新旗舰店）
18:30	疾风回旋曲	109	吉田照幸	剧情片	2017/6/17	01厅	上海星光影城（亚新旗舰店）
20:45	橡皮头 （4K）	90	大卫·林奇	剧情片	2017/6/17	01厅	上海星光影城（亚新旗舰店）
15:45	夫妻财产	101	乔克姆·拉弗塞	剧情片	2017/6/17	06厅	上影虹桥临空国际影城
18:30	故障状况	111	克特林·萨伊泽斯库	剧情片	2017/6/17	06厅	上影虹桥临空国际影城
15:45	大创业家	116	约翰·李·汉考克	剧情片	2017/6/17	07厅	上影虹桥临空国际影城
20:45	母亲的手	106	弗罗里安·伊辛格	剧情片	2017/6/17	07厅	上影虹桥临空国际影城
13:30	秘密特工（3D）	83	罗德里戈·艾巴#塞莉亚·卡通达#基戈·米斯特罗里戈	动画片	2017/6/17	01厅	四平电影院
15:45	隐藏人物	127	特奥多尔·梅尔菲	剧情片	2017/6/17	01厅	四平电影院
18:30	尘埃	120	高兹德·库拉尔	剧情片	2017/6/17	01厅	四平电影院
20:45	玛丽亚	97	纳利·雷格拉	剧情片	2017/6/17	01厅	四平电影院
8:30	爱，别，夏威夷	93	松村真吾	剧情片	2017/6/17	02厅	SFC上影影城（八佰伴店）
10:30	藩篱	139	丹泽尔·华盛顿	剧情片	2017/6/17	02厅	SFC上影影城（八佰伴店）
13:30	完美陌生人	97	保罗·格诺维瑟	剧情片	2017/6/17	02厅	SFC上影影城（八佰伴店）
15:45	英雄复英雄	122	宾·邦劳赖特#谭力·截禄冠	动作片	2017/6/17	02厅	SFC上影影城（八佰伴店）
18:30	军中信	105	巴里斯·克勒姆谢利奥卢	剧情片	2017/6/17	02厅	SFC上影影城（八佰伴店）
20:45	周末	104	让-吕克?戈达尔	剧情片	2017/6/17	02厅	SFC上影影城（八佰伴店）
13:30	努巴的心	86	肯尼斯·A·卡尔森	纪录片	2017/6/17	01厅	光影车间·静安店
18:30	生活，动画	92	罗杰·罗斯·威廉姆斯	纪录片	2017/6/17	01厅	光影车间·静安店
18:30	A计划	106	成龙#洪金宝	剧情片	2017/6/17	01厅	环球国际影城（崇明店）
13:30	本能寺酒店	119	铃木雅之	剧情片	2017/6/17	01厅	上海百丽宫影城（ifc商场店）
15:45	偷车贼	103	达伦·柯蒂斯	剧情片	2017/6/17	01厅	上海百丽宫影城（ifc商场店）
18:30	初恋这首情歌	106	约翰·卡尼	剧情片	2017/6/17	01厅	上海百丽宫影城（ifc商场店）
20:45	假装者	102	瓦罗·图姆拉	剧情片	2017/6/17	01厅	上海百丽宫影城（ifc商场店）
10:30	临渊而立	120	深田晃司	剧情片	2017/6/17	观众厅	上海美琪大戏院
13:30	宣告黎明的露之歌	112	汤浅政明	动画片	2017/6/17	观众厅	上海美琪大戏院
15:45	萧何月下追韩信	93	滕俊杰#齐宝玉#李春城	剧情片	2017/6/17	观众厅	上海美琪大戏院
18:30	雌雄大盗	111	阿瑟·佩恩	剧情片	2017/6/17	观众厅	上海美琪大戏院
20:45	昼颜	125	西谷弘	剧情片	2017/6/17	观众厅	上海美琪大戏院
15:45	红粉惊魂	136	安鲁达·罗伊·乔杜	剧情片	2017/6/17	05厅	保利国际影城上海世博店
18:30	百日孤独	96	克里斯蒂安·帕斯夸列	剧情片	2017/6/17	05厅	保利国际影城上海世博店
20:45	母亲们	130	米尔科·曼彻夫斯基	剧情片	2017/6/17	05厅	保利国际影城上海世博店
15:45	雪峰神爸	150	阿贾耶·德乌干	动作片	2017/6/17	07厅	AMG海上国际影城环球港店
18:30	声音猎人	89	丹尼兹·辛纳	剧情片	2017/6/17	07厅	AMG海上国际影城环球港店
20:45	哈尔姆斯	96	伊万·布洛茨尼科夫	剧情片	2017/6/17	07厅	AMG海上国际影城环球港店
15:45	双胞胎猴子	108	努塔昆·沙韦苏克	剧情片	2017/6/17	01厅	上海市沪北电影院
18:30	小美人鱼	83	罗恩·克莱蒙兹#约翰·马斯克	动画片	2017/6/17	01厅	上海市沪北电影院
20:45	屏住呼吸	88	费德·阿尔瓦雷兹	剧情片	2017/6/17	01厅	上海市沪北电影院
18:30	危机72小时	103	亚历山大·卡萨特金	剧情片	2017/6/17	06厅	上海世纪友谊影城
20:45	大开眼界	103	穆里尔·考林#戴菲琳·考林	剧情片	2017/6/17	06厅	上海世纪友谊影城
13:30	婚事	95	斯蒂芬·斯特雷克	剧情片	2017/6/17	01厅	百美汇影城
15:45	恶魔蛙男	132	大友启史	剧情片	2017/6/17	01厅	百美汇影城
18:30	“感恩而死”的漫长旅程	242	埃米尔·巴尔-列维	纪录片	2017/6/17	01厅	百美汇影城
13:30	秘密决定	96	奥利维尔·阿塞林	剧情片	2017/6/17	10厅	上海宝山万达影城
15:45	22年的自白：我是杀人犯	117	入江悠	剧情片	2017/6/17	10厅	上海宝山万达影城
18:30	移民	99	阿曼·T·里亚希	剧情片	2017/6/17	10厅	上海宝山万达影城
20:45	墙里的声音	95	艾瑞克·D·豪威尔	剧情片	2017/6/17	10厅	上海宝山万达影城
15:45	卡农	124	杂贺俊朗	剧情片	2017/6/17	06厅	上海兰生典尚影院
18:30	布里斯比熊	98	戴夫·麦卡里	剧情片	2017/6/17	06厅	上海兰生典尚影院
13:30	德州之心	104	大卫·马克	剧情片	2017/6/17	02厅	SFC上影影城（金桥太茂店）
15:45	莫逆之交	91	克谢尼娅·巴斯卡科夫	剧情片	2017/6/17	02厅	SFC上影影城（金桥太茂店）
